periode_data,wilayah,kecamatan,kelurahan,jenis_kelamin,jumlah_penduduk,rasio_jenis_kelamin,jumlah_kepadatan
2023,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,Perempuan,17301,99.86,34745.3
2023,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,Perempuan,66074,102.41,30292.87
2023,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,Perempuan,38820,102.27,8659.16
2023,JAKARTA TIMUR,CAKUNG,PULO GEBANG,Perempuan,64274,100.97,19490.16
2023,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,Perempuan,20186,100.47,9243.79
2023,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,Perempuan,37101,103.32,12285.93
2023,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,Perempuan,39308,97.91,16731.39
2023,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,Perempuan,39245,100.21,19329.43
2023,JAKARTA TIMUR,DUREN SAWIT,KLENDER,Perempuan,44652,101.33,29855.06
2023,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,Perempuan,47371,98.56,16447.95
2023,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,Perempuan,17226,94.85,25447.3
2023,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,Perempuan,19132,94.97,35485.81
2023,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,Perempuan,23039,99.4,20347.0
2023,JAKARTA TIMUR,MAKASAR,MAKASAR,Perempuan,22060,99.66,30184.58
2023,JAKARTA TIMUR,MAKASAR,PINANGRANTI,Perempuan,18146,99.06,15767.91
2023,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,Perempuan,15679,97.05,56583.03
2023,JAKARTA TIMUR,MATRAMAN,PALMERIAM,Perempuan,12165,97.93,37051.03
2023,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,Perempuan,9906,101.31,25580.16
2023,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,Perempuan,20846,99.05,35604.93
2023,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,Perempuan,21274,100.95,24206.05
2023,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,Perempuan,25353,99.89,28099.32
2023,JAKARTA TIMUR,PULO GADUNG,CIPINANG,Perempuan,24105,99.94,32124.22
2023,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,Perempuan,15485,103.0,24266.62
2023,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,Perempuan,23440,96.48,17522.99
2023,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,Perempuan,25328,98.02,13064.74
2023,JAKARTA TIMUR,PULO GADUNG,JATI,Perempuan,20297,95.93,19189.14
2023,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,Perempuan,16189,104.02,68571.43
2023,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,Perempuan,22476,99.25,36009.68
2023,JAKARTA TIMUR,JATINEGARA,BALI MESTER,Perempuan,5662,98.82,16737.84
2023,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,Perempuan,13406,100.33,31846.14
2023,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,Perempuan,19839,98.72,24582.19
2023,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,Perempuan,34675,100.18,26018.88
2023,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,Perempuan,22682,101.06,26800.47
2023,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,Perempuan,28817,104.6,52116.28
2023,JAKARTA TIMUR,KRAMAT JATI,KRAMATJATI,Perempuan,21343,100.58,28257.02
2023,JAKARTA TIMUR,KRAMAT JATI,TENGAH,Perempuan,28663,101.53,29644.81
